idProd,nombre,marca,precio,cantidad,barCode,linkImg,grupo,linkPag,activo,idAuto
315218,Lechuga mantecosa hidropónica Hidrovida,Hortalizas,29.0,0,,https://geant.vteximg.com.br/arquivos/ids/282850-250-250/315218.jpg?v=637661077183070000,frescos,https://www.disco.com.uy/muslo---avicola-del-oeste-315218/p,1,14052
301509,"Mandarina en malla x 1,5 kg",Frutas,34.0,0,,https://geant.vteximg.com.br/arquivos/ids/237860-250-250/301509.jpg?v=637039748718530000,frescos,https://www.disco.com.uy/milanesa-bola-lomo-premium-301509/p,1,14053
362880,Leche ultra CONAPROLE deslactosada descremada 1 L,CONAPROLE,58.0,0,,https://geant.vteximg.com.br/arquivos/ids/202741-250-250/362880.jpg?v=636377028104230000,frescos,https://www.disco.com.uy/leonesa-schneck-mini-el-kg-362880/p,1,14054
301308,Carne picada súper x 500 g,BOVINA,399.0,0,,https://geant.vteximg.com.br/arquivos/ids/237858-250-250/301308.jpg?v=637039746394830000,frescos,https://www.disco.com.uy/rinon-con-grasa-301308/p,1,14055
301330,Jamón Cocido SCHNECK x 50 g,SCHNECK,590.0,0,,https://geant.vteximg.com.br/arquivos/ids/196962-250-250/301330-1.jpg?v=636343336085800000,frescos,https://www.disco.com.uy/patas-y-brazuelos-de-cerdo-301330/p,1,14056
301811,Ajo especial 2 un.,Hortalizas,69.0,0,,https://geant.vteximg.com.br/arquivos/ids/292051-250-250/301811.jpg?v=637751022069800000,frescos,https://www.disco.com.uy/muslo-corto-sin-piel-301811/p,1,14057
300947,Choclo dulce importado x 2,Hortalizas,99.0,0,,https://geant.vteximg.com.br/arquivos/ids/292975-250-250/300947.jpg?v=637763804044600000,frescos,https://www.disco.com.uy/jamon-cocido-extra-de-campo-camposur-kg-300947/p,1,14058
300887,Leche descremada CONAPROLE larga vida 1 L,CONAPROLE,63.0,0,,https://geant.vteximg.com.br/arquivos/ids/292598-250-250/300887.jpg?v=637756108402100000,frescos,https://www.disco.com.uy/bondiola-ottonello-a-c-200-g-300887/p,1,14059
300759,Leche ultra CONAPROLE entera 1 L,CONAPROLE,38.0,0,,https://geant.vteximg.com.br/arquivos/ids/208084-250-250/300759.jpg?v=636422774081630000,frescos,https://www.disco.com.uy/mortadela-suprema-bologna-sarubbi-el-kg-300759/p,1,14060
331316,Suprema de pollo congelada 500g,-,269.0,0,,https://geant.vteximg.com.br/arquivos/ids/210600-250-250/331316-1.jpg?v=636455652704670000,frescos,https://www.disco.com.uy/chorizo-espanol-ottonello-al-vacio-331316/p,1,14061
300077,Leche fresca CONAPROLE descremada 1 L,CONAPROLE,37.0,0,,https://geant.vteximg.com.br/arquivos/ids/227245-250-250/300077.jpg?v=636822214853230000,frescos,https://www.disco.com.uy/frankfurters-la-guillermina-el-kg-300077/p,1,14062
331661,Boniato Zanahoria x 300 g,Hortalizas,74.0,0,,https://geant.vteximg.com.br/arquivos/ids/203135-250-250/331661.jpg?v=636378737145170000,frescos,https://www.disco.com.uy/frankfurters-cortos-schneck-envasados-al-vacio-el-kg-331661/p,1,14063
470004,Papa Rosada malla aprox x 1.5 kg,Hortalizas,47.0,0,,https://geant.vteximg.com.br/arquivos/ids/227613-250-250/470004.jpg?v=636830722839200000,frescos,https://www.disco.com.uy/laurel-470004/p,1,14064
270923,"Papa Blanca malla apro x 1,5 kg",Hortalizas,64.0,0,,https://geant.vteximg.com.br/arquivos/ids/206652-250-250/270923-2.jpg?v=636409118985100000,frescos,https://www.disco.com.uy/queso-ricotta-descremada-calcar-kg-270923/p,1,14065
